country,latitude,longitude,painting_num
Italy,42.83333,12.83333,1496
Australia,-25,135,10
United States,39.76,-98.5,1139
Germany,51.5,10.5,83
United Kingdom,54.75844,-2.69531,570
Spain,40,-4,26
Egypt,27,30,1
Canada,60.10867,-113.64258,11
France,46,2,144
Vatican City,41.90225,12.4533,6
Switzerland,47.00016,8.01427,62
Japan,35.68536,139.75309,2
Hungary,47,20,14
Austria,47.33333,13.33333,19
Russia,60,100,21
Finland,64,26,1
Ireland,53,-8,13
Portugal,39.6945,-8.13057,1
Liechtenstein,47.16667,9.53333,1
Monaco,43.73141,7.41903,9
Belgium,50.75,4.5,2
Denmark,56,10,4
Syria,35,38,2
Sweden,62,15,7
Puerto Rico,18.24829,-66.49989,5
Israel,31.5,34.75,1
Czechia,49.75,15,5
Slovenia,46.08333,15,8
Netherlands,52.25,5.75,17
Brazil,-10,-55,7
Poland,52,20,7
South Africa,-29,24,1
Luxembourg,49.75,6.16667,1
Hong Kong,22.25,114.16667,1
Mexico,23,-102,1
Argentina,-34,-64,2
Venezuela,8,-66,1
New Zealand,-42,174,1
Algeria,28,3,1
